example,Descriptive,IPA,CMU,CODE,UNVOICE,VOICE,SONORANT,NONSON,LIQUID,SEMI-GLID,VOCALIC,STOP,NASAL,FRICATIVE,AFFRICATE,APPROXIMANT,LATERAL,BILABIAL,LABIODENTAL,DENTAL,ALVEOLAR,POSTALVEOLAR,PALATAL,VELAR,GLOTTAL,FB1A,FB2A,FB3A,FB4A,FB5A,HL1A,HL2A,HL3A,HL4A,HL5A,HL6A,FB1B,FB2B,FB3B,FB4B,FB5B,HL1B,HL2B,HL3B,HL4B,HL5B,HL6B
you,j,j,Y,y,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
we,w,w,W,w,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.05,0.1,0.7,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lie,l,l,L,l,0,0,1,0,1,0,0,0,0,0,0,0.2,0.8,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bee,i,i,IY,i,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0.4,0.1,0,0,0,0,0.4,0.1,0,0,0,0.4,0.1,0,0,0,0
bit,I,ɪ,IH,I,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0.05,0.4,0.05,0,0,0,0.4,0.1,0,0,0,0.05,0.4,0.05,0,0,0
bait,e,eɪ,EY,e,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0,0.05,0.4,0.05,0,0,0.4,0.1,0,0,0,0,0.05,0.4,0.05,0,0
bet,E,ɛ,EH,E,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0,0,0,0.05,0.4,0.05,0.4,0.1,,0,0,0,0,0,0.05,0.4,0.05
bat,ae,æ,AE,A,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0,0,0,0.05,0.4,0.05,0.4,0.1,0,0,0,0,0,0,0,0.1,0.4
belong,schwa,,MISS,SKIP/x,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
but,^,ʌ,AH,x,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0.05,0,0,0,0,0.05,0.4,0.05,0,0.05,0.4,0.05,0,0,0,0,0.05,0.4,0.05
boot,u,u,UW,u,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.4,0.1,0,0,0,0,0,0,0,0.1,0.4,0.4,0.1,0,0,0,0
book,U,ʊ,UH,U,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0.05,0.05,0.4,0.05,0,0,0,0,0,0.1,0.4,0,0.05,0.4,0.05,0,0,0
boat,o,o,OW,o,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0.05,0.4,0.05,0,0,0,0,0,0.1,0.4,0,0.05,0.4,0.05,0,0
dog,c,ɔ,AO,c,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0.05,0.4,0.05,0,0,0,0.1,0.4,0,0,0,0.05,0.4,0.05
box,a,ɑ,AA,a,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0.1,0.4,0,0,0,0.1,0.4,0,0,0,0,0.1,0.4
bite,aI,aɪ,AY,Y,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0.05,0,0,0,0,0,0.05,0.4,0.05,0.4,0.1,0,0,0,0.05,0.4,0.05,0,0,0
boy,cI,ɔɪ ,OY,O,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0.05,0.4,0.05,0.4,0.1,0,0,0,0.05,0.4,0.05,0,0,0
bout,aU,aʊ,AW,W,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.4,0.05,0,0,0,0,0,0.05,0.4,0.05,0,0,0.05,0.4,0.05,0.05,0.4,0.05,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
