Item,I_Mean_RT,Log_Frequency,Degree,Clustering Coefficient,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
roof,641.15,3.573749146860305,4,0.3333333333333333,2.877110565906408e-06,0.012301142391236041,1.3051156246143962e-17
room,543.32,6.085660469994938,7,0.3333333333333333,9.89812125458119e-06,0.0127007509704371,2.6781314249505627e-17
root,634.37,2.3485140248824456,10,0.4888888888888889,2.0248289692591164e-05,0.013992877325638439,6.868283181763655e-17
rope,566.97,3.122805356117467,11,0.3090909090909091,1.5028664674627994e-05,0.013737624479686301,-4.9173904181168394e-18
rose,594.15,3.9706692008608795,12,0.25757575757575757,3.893051194214549e-05,0.013925012506841769,-1.9429466030218205e-17
rosy,684.03,1.1969481893889715,1,0.0,0.0,0.011668431866921765,-2.131656656220148e-18
rove,708.81,0.131028262406404,10,0.28888888888888886,1.2236966945018447e-05,0.013672207220259225,-9.807990280249205e-18
ruby,671.87,2.4765384001174837,0,0.0,0.0,0.0,-9.523505037117767e-19
rude,622.24,3.0937660138253564,5,0.3,6.20362961337882e-06,0.01243769223231921,2.000256385628049e-18
ruin,679.12,3.3509561652254085,2,1.0,0.0,0.00987502499141681,-7.710486636861844e-19
rule,557.69,3.874113432354926,5,0.3,8.463480534048977e-06,0.013026688291527292,-1.358658112636135e-17
rump,711.53,0.34358970439007686,8,0.5714285714285714,4.041087251704702e-06,0.010683399130249068,1.6912865708376363e-18
rune,628.45,-0.020202707317519466,7,0.23809523809523808,1.6746853660977843e-05,0.012995365278662234,-6.341820001422872e-18
rung,760.77,0.3293037471426003,6,0.26666666666666666,9.2540457758106e-06,0.01233417002552584,-6.564376863871197e-18
runt,695.81,0.8960880245566357,9,0.2222222222222222,3.226515234159658e-05,0.013799524259558724,2.326414261045009e-17
ruse,783.21,0.5128236264286637,9,0.16666666666666666,3.80528632215978e-05,0.013309754095341443,-1.7757855291651228e-19
